ANGRY	633903826454585344	changing news	changing_news10	irate hockey fan tases mayor—for a cause http://t.co/fahteyvhr6  #news #angry #hockey #mayor #cause #charity
ANGRY	634111368233361408	famous nude scenes	hotnudescenes	picture gallery: http://t.co/atpafbe2kl #coedconfidential #angry #bed #bra #jennifercsparks #celebrity http://t.co/m436lxv2lh
ANGRY	634312139075899397	michael sunderland	madmicksunderl1	got home from my fiancée's and ever since i got home my phone doesn't work when connected to wifi and the same with the ps3 #angry 😡😡
ANGRY	633171018278940672	jusplayinndapaint	ipaint_fast	and i hear snoring coming through the wall like a train #angry
ANGRY	633572125647835136	neha tiwari	nehaguptakj21	bollywood #superstar angry #salmankhan gets #irritated by a #fan. #watch out salman #angry style. see more ...http://t.co/nbfqhuxfdz
ANGRY	633238643478523904	andre` cutajar	netman007	i also damaged my rim on this pothole #irritated #angry #malta https://t.co/9mhsd3fvru
ANGRY	629107849235460096	totol hossain	wbulletins	#angry birds 2 goes freemium #howto http://t.co/pgy8fyg073
ANGRY	635581357989740544	kirsty allan	kakirsty1975	rt @9sonic1: angry killie fan rants after a 4-0 defeat to ross county #killie #killiefc #lol #haha #raging #angry  http://t.co/ktkgpuriep
ANGRY	630367150872657920	c. gray	galleta123	i will not be disrespected anymore like real fucking shit ! #angry 🔪
ANGRY	630905270600863744	marlin woosley	marlinwoosley	#justsaying never make someone #angry who serves you food, sticks you with needles or does your hair. they can mess you up real bad! 8
ANGRY	632737748651220992	#hellocaitlyn	itsjesspapa	rt @amirocks: photo: the #angry #pizza boxes come out at night in the #atx - #streetart #austin #homeslice #angrycloud... http://t.co/xeimy…
ANGRY	630229434184773632	nick salerno  	nblmusicsalerno	@nblmusicsalerno #fuhaters @ewerickson @megynkelly @foxnews @gop lost me #disabled &amp; #angry wevote @realdonaldtrump  https://t.co/gbn7ekwxfx
ANGRY	633358261195026432	danny mellor 	dannyjmellor	@oliver_strong was great to see you, even if you were #angry #pubcornerpoets
ANGRY	634927295501869056	yohobby new york	yohobbyny	21 august angry landlord live #newyork #yohobby #angry #landlord #live http://t.co/ceewm5lchb http://t.co/xybnyavrpg
ANGRY	628694785335894017	leonardo priz	teamee45	@angeidimaria7 you are so so so stupid for leaving @manutd for @psg.. #angry
ANGRY	635691955276550144	selu_windeer	seluwindydeer	hummm 😈 i see you sehun #exo #hunhan #sehun #luhan #radio #jealous #angry #chanyeol (vine by serah) https://t.co/xt5xhk9xo1"
ANGRY	634104257159933952	shey	trillianinspace	we need relief pitchers and nothing else. #angry #myteamhatesme #dodgers
ANGRY	630807413189275648	vighnesh pande	ventrilolquist	don't forget when u buy an expensive car, u get to do whatever u want with the car... not the road!! #bandra #quotes of the #angry #comedian
ANGRY	630895509075419136	sunshinetherapper	sunshinedarappr	if rap was a video game i'm pretty sure i just leveled up haha  finally figured out my plan for my album #angry
ANGRY	631047510287646721	changing news	changing_news3	irate hockey fan tases mayor—for a cause http://t.co/w8sdv5uj57  #news #angry #hockey #mayor #cause #charity
ANGRY	634816571312111616	cone pope	danthony_	we out here #angry #fettuccinecheesed https://t.co/ay1sa438xq
ANGRY	629421633506250752	gripeo complaints	gripeo_feed	rt @zoebekkermua: it's official @talktalk_uk are the worst company ever for service &amp; customer service #angry #frustrated #confused #giveup
ANGRY	633903827301892096	changing news	changing_news30	irate hockey fan tases mayor—for a cause http://t.co/5hqrhudg6o  #news #angry #hockey #mayor #cause #charity
ANGRY	633452295305449473	wildandfree	wildnfreeaffirm	lift yourself out of #negativeemotions with these easy to follow steps! #feelinggreat #guilt #angry http://t.co/kdbccmesav
ANGRY	629126606833909761	marmar♔ 	marmartavasol	i'd go crazy. like i'd take start stabbing them one by one. nothing is good enough. and they dont even come up with better bills #angry
ANGRY	631275523340173312	ashley tardo	ashleyanntardo	@bethyjolene16 @kylonre @meagan4793 @monroetyler48 explain this to me #angry  https://t.co/edtr286kaq
ANGRY	634895261005971456	producer	tlpproducer	tired of feeling #angry all the time? @terrileabritt gives #tips to #spiritualenlightenment http://t.co/bbgfioogdx #heal #energy #wealth
ANGRY	634364941726785536	leann murray	leann1990	@thomsoncares your service is a joke! why didn't you wait and put jan 16 holidays on the new system? makes more sense! #angry
ANGRY	633477971961970689	todd h.	toddbhall1	@xfinity with my xfinity speeds there is no way i could watch a movie. tried to watch a baseball game. had to restart every pitch. #angry
ANGRY	630454008369573888	the optimist	1the1optimist1	#people who are #angry with each other for the #silly little things, are usually the ones who #care about each other the most.
ANGRY	630981605339697154	comrade 37	minhkular	rt @bishop64: pic, someone in morayfield is really #angry at @telstra signs like this on the main rd and his yard! yikes! http://t.co/c0awp…
ANGRY	635484170370740224	jane	janemenlopark	rt @reallythecat: breakfast was late this morning.  #trouble #late #boss #breakfast #angry http://t.co/7kwrlaqddb http://t.co/nd4klsolpw
